,event_id,Полное наименование,Сокращенное наименование,Адрес,ИНН,ОГРН,Дата собрания,Форма собрания,Дивиденды,Совет директоров
0,7MqaldLL40qOcc-CCVXwp8w-B-B,"Публичное акционерное общество ""Аптечная сеть 36,6""","ПАО ""Аптечная сеть 36,6""",г. Москва Российская Федерация,7722266450,1027722000239,2021-06-30,заочное голосование,принято решение не выплачивать дивиденды,"['Захаров Владимир Эдуардович', 'Кузин Александр Владимирович', 'Куленко Георгий Владимирович', 'Курилов Александр Сергеевич', 'Титова Наталья Александровна', 'Фредди Вильямс', 'Чагин Михаил Юрьевич', 'Чобанян Эдуард Арутюнович', 'Чупин Алексей Николаевич']"
1,liqVcFB-AXU6u348lpVO-CEg-B-B,Публичное акционерное общество «Бест Эффортс Банк»,ПАО «Бест Эффортс Банк»,"Российская Федерация, город Москва",7831000034,1037700041323,2021-06-30,собрание,принято решение не выплачивать дивиденды,"['Соколов Кирилл Юрьевич', 'Бурдонова Марина Павловна', 'Горюнов Роман Юрьевич', 'Ионова Ирина Борисовна', 'Ларионов Игорь Васильевич', 'Старовойтова Ольга Владимировна', 'Тарабцев Александр Александрович']"
2,9RRCV0gH606apQmh0unKFw-B-B,"Акционерное общество ""Научно-исследовательский, проектный и конструкторский  институт сплавов и обработки цветных металлов""","АО ""Институт Цветметобработка""","119017, г. Москва, Пыжевский пер., д. 5",7706002901,1027700122768,2021-06-30,заочное голосование,принято решение не выплачивать дивиденды,"['Дружинина Татьяна Ивановна', 'Райков Юрий Николаевич', 'Яшин Виталий Васильевич', 'Резников Алексей Давыдович', 'Улановский Яков Бенедиктович', 'Усачев Александр Борисович', 'Мишуков Олег Онуфриевич']"
3,HZY9XVNE-AUi6kC1pDzP2vg-B-B,Публичное акционерное общество «Вымпел-Коммуникации»,ПАО «ВымпелКом»,"127083, Российская Федерация, г. Москва, ул. 8 Марта, д. 10, стр. 14",7713076301,1027700166636,2021-06-30,собрание,принято решение выплатить дивиденды,"['Махтерем Каан Терзиоглу', 'Серкан Окандан', 'Швец Дмитрий Владимирович', 'Алекс Болис', 'Ана Берта Рейс Пенья', 'Верхошинский Владимир Вячеславович', 'Изосимова Наталья Вадимовна', 'Ким Борис Борисович', 'Мацоцкий Сергей Савельевич']"
4,SbjyC7hLtESOaBPMQoNAag-B-B,Публичное акционерное общество Группа компаний «ТНС энерго»,ПАО ГК «ТНС энерго»,"127006, Российская Федерация, г. Москва, Настасьинский пер., д. 4, корп. 1",7705541227,1137746456231,2021-06-30,собрание,принято решение не выплачивать дивиденды,"['Тихонова Мария Геннадьевна', 'Стельнова Елена Николаевна', 'Алешин Артем Геннадьевич', 'Парамонов Александр Владимирович', 'Севергин Евгений Михайлович', 'Коврижных Дмитрий Николаевич', 'Седов Илья Леонидович', 'Судец Евгения Леонидовна', 'Трусов Евгений Валентинович']"
5,92Fvdt-CRxU2-AZ-AjDZsyoww-B-B,Публичное акционерное общество «Группа компаний «Самолет»,ПАО «ГК «Самолет»,"Российская Федерация, г. Москва",9731004688,1187746590283,2021-06-30,заочное голосование,принято решение выплатить дивиденды,"['Голубков Дмитрий Аркадьевич', 'Евтушевский Игорь Викторович', 'Елистратов Антон Николаевич', 'Кенин Михаил Борисович', 'Прыгунков Александр Сергеевич', 'Хартманн Оскар', 'Шекшня Станислав Владимирович']"
6,RXIq7VlyRUGg6GwPusNyiQ-B-B,"Публичное акционерное общество 
«Акционерная финансовая корпорация «Система»",ПАО АФК «Система»,"Российская Федерация, город Москва",7703104630,1027700003891,2021-06-30,заочное голосование,принято решение выплатить дивиденды,"['Белова Анна Григорьевна', 'Евтушенков Владимир Петрович', 'Евтушенков Феликс Владимирович', 'Зоммер Рон', 'Кузьминов Ярослав Иванович', 'Маннингс Роджер', 'Чирахов Владимир Санасарович', 'Чубайс Анатолий Борисович', 'Шамолин Михаил Валерьевич', 'Шнайдер Этьен', 'Шохин Александр Николаевич', 'Якобашвили Давид Михайлович']"
7,UdhG-AXSXG0qJIGjQsvdoIg-B-B,"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""","ПАО ""ГТМ""","129110, город Москва, улица Гиляровского, дом 39, строение 1, этаж 4, комната 24",9701082537,1177746744878,2021-06-30,собрание,принято решение не выплачивать дивиденды,"['Беликов Роман Анатольевич', 'Боридько Тимур Сергеевич', 'Васильев Николай Юрьевич', 'Елисеев Александр Леонидович', 'Мамедов Азер Энвер Оглы', 'Маркунина Елизавета Анатольевна', 'Пахомова Елена Константиновна', 'Фалалеев Климент Александрович', 'Яковлева Наталья Юрьевна']"
8,87Q-CGtKKBEK7MEqqdYfU8Q-B-B,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""","ПАО ""САК ""ЭНЕРГОГАРАНТ""","115035, Москва, Садовническая наб., 23",7705041231,1027739068060,2021-06-29,заочное голосование,принято решение выплатить дивиденды,"['Гаврилов Вадим Николаевич', 'Никифоров Сергей Арнольдович', 'Козлов Владимир Иванович', 'Зернова Вера Алексеевна', 'Страздинг Олег Альбертович', 'Коваль Александр Павлович', 'Комогоров Виктор Иванович']"
9,JFij1JBP7k2ixbMObuRezQ-B-B,"Публичное акционерное общество ""РБК""","ПАО ""РБК""",г. Москва,7728547955,1057746899572,2021-06-30,заочное голосование,принято решение не выплачивать дивиденды,"['Тюшкевич Анну Григорьевну', 'Страшнова Дмитрия Евгеньевича', 'Конти Фульвио', 'Молибога Николая Петровича', 'Красновского Бориса Григорьевича', 'Медведева Вадима Владимировича', 'Шумилова Юрия Владимировича']"
